Experiment,Sample_Type,Cell Line,Karyotype,Timepoint,Treatment,Tryptophan,L-Kynurenine,Kynurenic acid,L-Alanine,Picolinic acid,Nicotinamide,Indole-3-acetaldehyde,5-Hydroxy-L-tryptophan,Indole,Serotonin,Anthranilate,Xanthurenic acid,L-Arginine,3-Hydroxyanthranilate
4,Supernatant,2767,T21,0,IFN-,167646897,2828092.343,110407.4141,,101144.8516,1817591.84,2463141.06,813920.965,9146676.25,15297275.34,43887.3134,,366600.66,
4,Supernatant,4616,T21,0,IFN-,157550032.4,1892290.817,118277.488,,194350.418,1798745.035,1868589.848,478848.81,8182396.992,16183739.09,25386.2,,563569.36,
4,Supernatant,5659,D21,1,IFN+,167766112.8,1509137.522,132564.8816,,93328.6719,1406726.013,1183070.643,446165.426,7376621.313,14541290.33,87658.0433,,280117.16,
4,Supernatant,2036,D21,1,IFN+,117138565.3,1587231.099,557529.8577,,193773.1992,1464130.04,894161.952,380754.692,5532928.195,14535565.11,38916.85,,293931.24,
4,Supernatant,8447,D21,1,IFN+,222340319.2,1876201.75,136812.7344,,123947.668,2359442.435,1560797.705,534575.986,9813489.75,7738498.781,61739.14,,265194.24,
4,Supernatant,5397,T21,1,IFN+,118869334.1,1671121.865,93912.6016,,109111.0352,1477338.8,815912.7075,298024.925,5301588.289,15644401.89,52841.13,,155213.7,
4,Supernatant,2767,T21,1,IFN+,156989915.7,1867307.173,143267.8742,,110905.457,1282632.725,1037979.129,529261.588,7336722.913,16005556.5,62714.2871,,256596.63,
4,Supernatant,4616,T21,1,IFN+,175400141.3,1634675.105,48291.1602,,107283.0059,1646759.375,1204262.205,589822.234,8410783.531,14275669.7,74548.4065,,257867.57,
4,Supernatant,5659,D21,1,IFN-,144896818,1632269.898,50103.8281,,128492.3203,1642860.225,1024016.705,502602.17,7077481.883,14019676.98,55229.0239,,252306.59,
4,Supernatant,2036,D21,1,IFN-,106171500.5,1492761.358,21213.2637,,106566.707,1069625.328,865390.6375,463211.739,6005893.35,14285335.69,36569.8453,,132937.2,
4,Supernatant,8447,D21,1,IFN-,200654862.4,2023185.97,135212.8278,,120715.3594,1863194.585,1820804.88,358154.902,8544086.953,15752765.8,10697.54,,267716.53,
4,Supernatant,5397,T21,1,IFN-,113820591.4,1638488.925,70777.4257,,171661.1172,1331117.793,731261.7275,314512.733,5939376.383,15449391.33,28898.73,,240908.84,
4,Supernatant,2767,T21,1,IFN-,174712108,1576745.47,146315.2836,,121560.6289,1693835.7,1194647.026,607721.966,7632951.133,13837594.94,72772.8831,,204553.38,
4,Supernatant,4616,T21,1,IFN-,193927197.1,1651425.536,160368.4711,,146088.5078,1924845.225,1518823.527,712436.559,7874053.148,13787657.28,64072.5641,,292958.53,
4,Supernatant,5659,D21,6,IFN+,210592536.5,2118778.399,80861.1875,,206248.9609,2101917.385,1620310.065,583843.497,8896519.703,16621023.78,84717.4374,,458935.98,
4,Supernatant,2036,D21,6,IFN+,136180934.4,1385740.579,145075.9555,,243955.4765,1588037.84,1108700.949,332786.329,7263300.539,15854871.41,42399.1894,,539283.26,
4,Supernatant,8447,D21,6,IFN+,181096592.3,1996010.959,85841.6328,,170071.8359,1981305.4,1288608.016,366683.691,8766728.828,15530839.03,62219.8216,,411283.47,
